Column Name,Data Type,Defined Length,Nulls Allowed,Null Count,Percentage Populated,Distinct Value Count,Minimum Value,Maximum Value,Max Actual Length
id,int64,,Yes,0,100.00%,29,1,29,
user_id,object,32.0,Yes,0,100.00%,9,192befbbd8b97260e28db080a661578c,f2de40c8394f4ea9a6aa49965380dd8f,32.0
name,object,32.0,Yes,0,100.00%,7,003609f9b658dc89cd16d904783834d4,ec55b0c6b4cf5e7e08ddcfbc0465b796,32.0
phone_number,object,32.0,Yes,0,100.00%,9,488b1d38c3a3d84ab9839886acecf5e0,f495c5b0268d9896b8478ab32bfa02eb,32.0
homeclub,object,19.0,Yes,0,100.00%,6,ADITYAWARMAN,SUNSET ROAD,19.0
timezone_homeclub,object,13.0,Yes,0,100.00%,2,Asia/Jakarta,Asia/Makassar,13.0
membership_expired_date,object,10.0,Yes,0,100.00%,9,2024-03-31,2026-03-04,10.0
is_deleted,bool,,Yes,0,100.00%,2,False,True,
