Column Name,Data Type,Defined Length,Nulls Allowed,Null Count,Percentage Populated,Distinct Value Count,Minimum Value,Maximum Value,Max Actual Length
id,int64,,Yes,0,100.00%,8,1,8,
lead_id,object,32.0,Yes,0,100.00%,5,08b8ab0371b6a0cb79319628505c446c,c50f607bbae83f7c53551476e11997eb,32.0
source_category,object,7.0,Yes,0,100.00%,2,Offline,Online,7.0
created_at,object,24.0,Yes,0,100.00%,5,2024-01-31T08:53:22.403Z,2024-05-13T06:38:58.322Z,24.0
preferred_location,object,12.0,Yes,0,100.00%,3,ADITYAWARMAN,GAJAH MADA,12.0
timezone_location,object,12.0,Yes,0,100.00%,1,Asia/Jakarta,Asia/Jakarta,12.0
current_status,object,11.0,Yes,0,100.00%,5,Appointment,Warm,11.0
