Column Name,Data Type,Defined Length,Nulls Allowed,Null Count,Percentage Populated,Distinct Value Count,Minimum Value,Maximum Value,Max Actual Length
id,int64,,Yes,0,100.00%,3,1,3,
reward_value,object,7.0,Yes,0,100.00%,3,10 days,20 days,7.0
created_at,object,20.0,Yes,0,100.00%,3,2024-03-13T02:44:32Z,2024-03-13T02:45:15Z,20.0
reward_type,int64,,Yes,0,100.00%,1,1,1,
