Column Name,Data Type,Defined Length,Nulls Allowed,Null Count,Percentage Populated,Distinct Value Count,Minimum Value,Maximum Value,Max Actual Length
id,int64,,Yes,0,100.00%,3,1,3,
description,object,14.0,Yes,0,100.00%,3,Berhasil,Tidak Berhasil,14.0
created_at,object,20.0,Yes,0,100.00%,2,2024-03-08T08:49:37Z,2024-03-08T10:07:10Z,20.0
